scenario,revenue,fruit_biomass,height,leaf_area,total_irrigation,total_fertilizer,precip_total,temp_mean,scenario_key
normal 1,876.4700859051703,0.1953777432573543,2.1799055565306893,0.4922898266095838,0.7610799504657473,282.6998678970028,31.466249952,22.81727635674459,normal_1
normal 2,883.8593880289269,0.1967302544413616,2.207085365498296,0.4942402174982248,0.7610799504657473,282.6998678970028,29.8929374544,23.322283494883433,normal_2
normal 3,848.0331528287875,0.1897664162538129,2.1358298358791137,0.4833415582941487,0.7610799504657473,282.6998678970028,33.0395624496,22.32105232152131,normal_3
normal 4,869.8539219223059,0.1938579140473181,2.2065428417930737,0.4886375987845294,0.7610799504657473,282.6998678970028,28.319624956800002,23.836748977982886,normal_4
normal 5,814.0496100719154,0.1828314928596149,2.0930169176379776,0.4757849000883293,0.7610799504657473,282.6998678970028,34.612874947200005,21.831446026703592,normal_5
moderate dry,786.6585779549135,0.177751818054251,2.175719713307629,0.4400589601740489,0.7610799504657473,282.6998678970028,23.599687464,24.323437538805464,moderate_dry
moderate wet,762.1575148539855,0.1715537571154879,2.0924523755760043,0.467941122486489,0.7610799504657473,282.6998678970028,39.33281244,21.82227466571157,moderate_wet
moderate warm,832.0684683234352,0.187337357030439,2.089218983918816,0.4669509018163442,0.7610799504657473,282.6998678970028,28.319624956800002,25.31392908265681,moderate_warm
moderate cool,776.7754283127454,0.1759009891947072,2.0069560649574694,0.4598718274998981,0.7610799504657473,282.6998678970028,34.612874947200005,20.81223761976086,moderate_cool
moderate variable,875.4123939953457,0.1951897347454471,2.1775728574009565,0.49164141004076,0.7610799504657473,282.6998678970028,31.466249952,22.806219904119658,moderate_variable
mild drought,687.9623863736289,0.1573824459341039,2.2085184732165737,0.3972662055533844,0.7610799504657473,282.6998678970028,17.795249976,23.817864852756077,mild_drought
summer drought,734.7876670542497,0.1677103723880814,2.1327115310601887,0.4136348145575441,0.7610799504657473,282.6998678970028,21.30117497424,24.82292772478582,summer_drought
early drought,697.0422465482874,0.1594010414517621,2.177542998615385,0.4027603996562723,0.7610799504657473,282.6998678970028,19.12922914344,24.311660392069466,early_drought
late drought,711.4330384261939,0.1623745552418786,2.2062211844044484,0.403480953187764,0.7610799504657473,282.6998678970028,18.0951749664,23.81499690818271,late_drought
wet year,675.5816405690194,0.1544296222874091,2.0500360959499857,0.4265973805650711,0.7610799504657473,282.6998678970028,44.0527499328,21.321227481482335,wet_year
cool wet,685.7023383710249,0.1570433875246564,1.966125412789874,0.433231410364416,0.7610799504657473,282.6998678970028,40.9061249376,20.316554016523956,cool_wet
heat stress,787.3338728144437,0.1784152706058508,2.1012792794710924,0.4415861517516753,0.7610799504657473,282.6998678970028,25.172999961600002,25.09434351939092,heat_stress
multiple heatwaves,818.9258686260697,0.1844942981996092,2.1227618619093374,0.4592067686542939,0.7610799504657473,282.6998678970028,26.7463124592,24.82608222467448,multiple_heatwaves
extreme drought heat,500.9465104831943,0.12135233973191,1.996825105911659,0.3076260407394319,0.7610799504657473,282.6998678970028,8.98884999064,26.312490200290725,extreme_drought_heat
worst case,435.95149091673363,0.1093689411736971,1.861883360422852,0.2753193668310346,0.7610799504657473,282.6998678970028,6.191864573264999,27.960886653403676,worst_case
baseline,876.8124349992676,0.1954383090390671,2.1807597381433363,0.4924895243260145,0.7610799504657473,282.6998678970028,31.466249952,22.821482240437156,baseline
