scenario,revenue_constrained_ga,fruit_biomass,height,leaf_area,total_irrigation_constrained_ga,total_fertilizer_constrained_ga,precip_total,temp_mean,scenario_key,revenue_mpc,total_irrigation_mpc,total_fertilizer_mpc,constrained_ga_advantage,constrained_ga_wins,revenue_ga_normal
normal 1,876.4700859051703,0.1953777432573543,2.1799055565306893,0.4922898266095838,0.7610799504657473,282.6998678970028,31.466249952,22.81727635674459,normal_1,849.8832009673936,1.3376909079419708,215.63558992524435,26.586884937776745,True,1010.4370941498728
normal 2,883.8593880289269,0.1967302544413616,2.207085365498296,0.4942402174982248,0.7610799504657473,282.6998678970028,29.8929374544,23.322283494883433,normal_2,877.3993608439011,1.357445636685172,216.9441441978156,6.460027185025751,True,1014.6250325686324
normal 3,848.0331528287875,0.1897664162538129,2.1358298358791137,0.4833415582941487,0.7610799504657473,282.6998678970028,33.0395624496,22.32105232152131,normal_3,815.4597775696907,1.4026542954734722,221.63241953471243,32.57337525909679,True,977.5305615928654
normal 4,869.8539219223059,0.1938579140473181,2.2065428417930737,0.4886375987845294,0.7610799504657473,282.6998678970028,28.319624956800002,23.836748977982886,normal_4,885.5134926482982,1.4297048320401191,219.03407808181836,-15.659570725992353,False,992.1902200162202
normal 5,814.0496100719154,0.1828314928596149,2.0930169176379776,0.4757849000883293,0.7610799504657473,282.6998678970028,34.612874947200005,21.831446026703592,normal_5,774.3387543492839,1.5902397716442116,241.7026900977105,39.710855722631436,True,935.2399061183984
moderate dry,786.6585779549135,0.177751818054251,2.175719713307629,0.4400589601740489,0.7610799504657473,282.6998678970028,23.599687464,24.323437538805464,moderate_dry,796.3072215720752,1.6312626033169138,241.5952545231457,-9.64864361716161,False,890.7566192111691
moderate wet,762.1575148539855,0.1715537571154879,2.0924523755760043,0.467941122486489,0.7610799504657473,282.6998678970028,39.33281244,21.82227466571157,moderate_wet,715.7727392189469,1.6615391363465937,249.63162061673157,46.384775635038636,True,873.5413952839452
moderate warm,832.0684683234352,0.187337357030439,2.089218983918816,0.4669509018163442,0.7610799504657473,282.6998678970028,28.319624956800002,25.31392908265681,moderate_warm,845.881482761414,1.4849857465332488,233.31232226766232,-13.813014437978723,False,944.6837894354408
moderate cool,776.7754283127454,0.1759009891947072,2.0069560649574694,0.4598718274998981,0.7610799504657473,282.6998678970028,34.612874947200005,20.81223761976086,moderate_cool,735.6284429650548,1.511700733496422,239.09488338667973,41.14698534769059,True,887.0196679277909
moderate variable,875.4123939953457,0.1951897347454471,2.1775728574009565,0.49164141004076,0.7610799504657473,282.6998678970028,31.466249952,22.806219904119658,moderate_variable,847.4332028348218,1.354161221731657,216.4003203272915,27.979191160523897,True,1009.1911711061964
mild drought,687.9623863736289,0.1573824459341039,2.2085184732165737,0.3972662055533844,0.7610799504657473,282.6998678970028,17.795249976,23.817864852756077,mild_drought,717.3645760381605,1.8991552568723025,261.72661351428155,-29.402189664531647,False,774.2464555134728
summer drought,734.7876670542497,0.1677103723880814,2.1327115310601887,0.4136348145575441,0.7610799504657473,282.6998678970028,21.30117497424,24.82292772478582,summer_drought,746.2865568369295,1.6652768446378532,248.029593350578,-11.49888978267984,False,828.2688431032481
early drought,697.0422465482874,0.1594010414517621,2.177542998615385,0.4027603996562723,0.7610799504657473,282.6998678970028,19.12922914344,24.311660392069466,early_drought,726.6404449295533,1.8766271515919544,261.4397659360102,-29.598198381265888,False,783.2169663819769
late drought,711.4330384261939,0.1623745552418786,2.2062211844044484,0.403480953187764,0.7610799504657473,282.6998678970028,18.0951749664,23.81499690818271,late_drought,700.0231892854626,1.5145926762790196,234.97273179620876,11.40984914073124,True,806.2109310589539
wet year,675.5816405690194,0.1544296222874091,2.0500360959499857,0.4265973805650711,0.7610799504657473,282.6998678970028,44.0527499328,21.321227481482335,wet_year,632.9802004082421,1.6836691165109297,261.8810300836552,42.601440160777315,True,768.1526038929895
cool wet,685.7023383710249,0.1570433875246564,1.966125412789874,0.433231410364416,0.7610799504657473,282.6998678970028,40.9061249376,20.316554016523956,cool_wet,640.7716869786263,1.596105594782239,255.02273001122603,44.930651392398545,True,776.9962325958089
heat stress,787.3338728144437,0.1784152706058508,2.1012792794710924,0.4415861517516753,0.7610799504657473,282.6998678970028,25.172999961600002,25.09434351939092,heat_stress,795.0220826057483,1.595665559152535,240.07206740779097,-7.688209791304644,False,890.7802172808496
multiple heatwaves,818.9258686260697,0.1844942981996092,2.1227618619093374,0.4592067686542939,0.7610799504657473,282.6998678970028,26.7463124592,24.82608222467448,multiple_heatwaves,829.4862301317751,1.5369180983004471,233.7143460668088,-10.560361505705373,False,929.2723934583044
extreme drought heat,500.9465104831943,0.12135233973191,1.996825105911659,0.3076260407394319,0.7610799504657473,282.6998678970028,8.98884999064,26.312490200290725,extreme_drought_heat,518.465160234979,1.9842673366377528,307.1259016527236,-17.518649751784665,False,546.8207908232944
worst case,435.95149091673363,0.1093689411736971,1.861883360422852,0.2753193668310346,0.7610799504657473,282.6998678970028,6.191864573264999,27.960886653403676,worst_case,444.9332653957373,1.831156157000096,302.07137634659426,-8.981774479003661,False,468.1024028181829
baseline,876.8124349992676,0.1954383090390671,2.1807597381433363,0.4924895243260145,0.7610799504657473,282.6998678970028,31.466249952,22.821482240437156,baseline,848.3962203962496,1.3613973127836916,216.83231780737208,28.41621460301792,True,1010.8754565034624
