scenario,revenue,cost,fruit_biomass,height,leaf_area,total_irrigation,total_fertilizer,precip_total,temp_mean,extremity
normal_1,1024.6846946132189,-1024.6846946132189,0.2350630838930558,2.846069027901735,0.6136749348683743,0.2888413258109277,364.44906316452665,31.466249952,22.81727635674459,0.0
normal_2,1033.6274681155905,-1033.6274681155905,0.236725377050353,2.885523637185879,0.6144407842983914,0.2888413258109277,364.44906316452665,29.8929374544,23.322283494883433,0.2000000000000001
normal_3,988.5831978348939,-988.5831978348939,0.2280272769829783,2.789026704895894,0.6006717966205787,0.2888413258109277,364.44906316452665,33.0395624496,22.32105232152131,0.2000000000000001
normal_4,1019.7519830520836,-1019.7519830520836,0.2336337306382039,2.913434650966547,0.6093498819180814,0.2888413258109277,364.44906316452665,28.319624956800002,23.836748977982886,0.39999999999999997
normal_5,946.2833473988784,-946.2833473988784,0.2194399496467017,2.7338401950884847,0.5906498619865073,0.2888413258109277,364.44906316452665,34.612874947200005,21.831446026703592,0.4000000000000002
moderate_dry,918.9940958912802,-918.9940958912802,0.2142242989844071,2.874215611873568,0.5488231380429494,0.2888413258109277,364.44906316452665,23.599687464,24.323437538805464,0.8
moderate_wet,884.0716584737678,-884.0716584737678,0.2059306060344024,2.7318872886499426,0.5812230800096256,0.2888413258109277,364.44906316452665,39.33281244,21.82227466571157,0.7
moderate_warm,972.9596921321248,-972.9596921321248,0.2256176916338025,2.759916353735779,0.5826160356515888,0.2888413258109277,364.44906316452665,28.319624956800002,25.31392908265681,0.7
moderate_cool,899.5311887042127,-899.5311887042127,0.2107611724060183,2.622131173258049,0.571013656360651,0.2888413258109277,364.44906316452665,34.612874947200005,20.81223761976086,0.6000000000000002
moderate_variable,1023.3421309236745,-1023.3421309236745,0.2348297386763182,2.8426660141334343,0.612814134900132,0.2888413258109277,364.44906316452665,31.466249952,22.806219904119658,0.0
mild_drought,799.7216713800113,-799.7216713800113,0.1896955501165786,2.915730544043723,0.4949974883899855,0.2888413258109277,364.44906316452665,17.795249976,23.817864852756077,1.3
summer_drought,855.8591740677269,-855.8591740677269,0.2020782567669553,2.81743346106902,0.5158107721000015,0.2888413258109277,364.44906316452665,21.30117497424,24.82292772478582,1.7
early_drought,810.688819402187,-810.688819402187,0.1921199548625225,2.87660585550437,0.5021970744439506,0.2888413258109277,364.44906316452665,19.12922914344,24.311660392069466,1.6400000000000001
late_drought,825.7049273470963,-825.7049273470963,0.1954227828022582,2.912625809145005,0.4978148662377313,0.2888413258109277,364.44906316452665,18.0951749664,23.81499690818271,1.52
wet_year,779.1468145497109,-779.1468145497109,0.1852316924342811,2.6776563023926725,0.5304482247328219,0.2888413258109277,364.44906316452665,44.0527499328,21.321227481482335,1.0999999999999999
cool_wet,789.1465767983146,-789.1465767983146,0.1879194004718245,2.5688245659801567,0.5390462352257224,0.2888413258109277,364.44906316452665,40.9061249376,20.316554016523956,1.1
heat_stress,919.1086429233916,-919.1086429233916,0.2149250799402716,2.7762007450889974,0.5508072874195744,0.2888413258109277,364.44906316452665,25.172999961600002,25.09434351939092,1.6999999999999997
multiple_heatwaves,957.5007985113497,-957.5007985113497,0.2222678072292994,2.804264379226642,0.5728295755915124,0.2888413258109277,364.44906316452665,26.7463124592,24.82608222467448,2.26
extreme_drought_heat,572.0289006722854,-572.0289006722854,0.1460987116494633,2.6385836836788594,0.3834314445932741,0.2888413258109277,364.44906316452665,8.98884999064,26.312490200290725,4.97
worst_case,491.49679677141614,-491.49679677141614,0.1313574192473358,2.459959963568678,0.3430522701395739,0.2888413258109277,364.44906316452665,6.191864573264999,27.960886653403676,8.38
baseline,1025.114133377052,-1025.114133377052,0.2351387079802846,2.8472084472307944,0.6139215948644099,0.2888413258109277,364.44906316452665,31.466249952,22.821482240437156,0.0
