name,precip_scale,temp_offset,noise_std,n_drought_events,n_heatwave_events,extremity_index
normal_1,1.0,0.0,0.03,0,0,0.0
normal_2,0.95,0.5,0.03,0,0,0.2000000000000001
normal_3,1.05,-0.5,0.03,0,0,0.2000000000000001
normal_4,0.9,1.0,0.05,0,0,0.39999999999999997
normal_5,1.1,-1.0,0.05,0,0,0.4000000000000002
moderate_dry,0.75,1.5,0.05,0,0,0.8
moderate_wet,1.25,-1.0,0.05,0,0,0.7
moderate_warm,0.9,2.5,0.05,0,0,0.7
moderate_cool,1.1,-2.0,0.05,0,0,0.6000000000000002
moderate_variable,1.0,0.0,0.15,0,0,0.0
mild_drought,0.6,1.0,0.05,1,0,1.3
summer_drought,0.7,2.0,0.05,1,0,1.7
early_drought,0.65,1.5,0.05,1,0,1.6400000000000001
late_drought,0.7,1.0,0.05,1,0,1.52
wet_year,1.4,-1.5,0.05,0,0,1.0999999999999999
cool_wet,1.3,-2.5,0.08,0,0,1.1
heat_stress,0.8,2.0,0.05,0,1,1.6999999999999997
multiple_heatwaves,0.85,1.5,0.05,0,3,2.26
extreme_drought_heat,0.4,3.0,0.08,2,1,4.97
worst_case,0.35,4.0,0.1,2,2,8.38
